Ferak orthoferavirus;Orthoferavirus;Unassigned;Feraviridae;Bunyavirales;ssRNA(-)
Mycobacterium virus Crimd;Tm4virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Fionnbarth;Tm4virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Jaws;Tm4virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Larva;Tm4virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Macncheese;Tm4virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Pixie;Tm4virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus TM4;Tm4virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Bacillus virus BMBtp2;Tp21virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Bacillus virus TP21;Tp21virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus 47;Triavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus 3a;Triavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus 42e;Triavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus IPLA35;Triavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus phi12;Triavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus phiSLT;Triavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Rhodococcus virus RGL3;Unassigned;Unassigned;Siphoviridae;Caudovirales;dsDNA
Paenibacillus virus Vegas;Vegasvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Gordonia virus Vendetta;Vendettavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Bacillus virus Wbeta;Wbetavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Wildcat;Wildcatvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Gordonia virus Hotorobo;Woesvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Gordonia virus Monty;Woesvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Gordonia virus Woes;Woesvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Xanthomonas virus CP1;Xp10virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Xanthomonas virus OP1;Xp10virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Xanthomonas virus phil7;Xp10virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Xanthomonas virus Xop411;Xp10virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Xanthomonas virus Xp10;Xp10virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Streptomyces virus TP1604;Ydn12virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Streptomyces virus YDN12;Ydn12virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Alphaproteobacteria virus phiJl001;Yuavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Pseudomonas virus LKO4;Yuavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Pseudomonas virus M6;Yuavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Pseudomonas virus MP1412;Yuavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Pseudomonas virus PAE1;Yuavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Pseudomonas virus Yua;Yuavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Ranid herpesvirus 1;Batrachovirus;Unassigned;Alloherpesviridae;Herpesvirales;dsDNA
Ranid herpesvirus 2;Batrachovirus;Unassigned;Alloherpesviridae;Herpesvirales;dsDNA
Anguillid herpesvirus 1;Cyprinivirus;Unassigned;Alloherpesviridae;Herpesvirales;dsDNA
Cyprinid herpesvirus 1;Cyprinivirus;Unassigned;Alloherpesviridae;Herpesvirales;dsDNA
Cyprinid herpesvirus 2;Cyprinivirus;Unassigned;Alloherpesviridae;Herpesvirales;dsDNA
Cyprinid herpesvirus 3;Cyprinivirus;Unassigned;Alloherpesviridae;Herpesvirales;dsDNA
Acipenserid herpesvirus 2;Ictalurivirus;Unassigned;Alloherpesviridae;Herpesvirales;dsDNA
Ictalurid herpesvirus 1;Ictalurivirus;Unassigned;Alloherpesviridae;Herpesvirales;dsDNA
Ictalurid herpesvirus 2;Ictalurivirus;Unassigned;Alloherpesviridae;Herpesvirales;dsDNA
Salmonid herpesvirus 1;Salmonivirus;Unassigned;Alloherpesviridae;Herpesvirales;dsDNA
Salmonid herpesvirus 2;Salmonivirus;Unassigned;Alloherpesviridae;Herpesvirales;dsDNA
Salmonid herpesvirus 3;Salmonivirus;Unassigned;Alloherpesviridae;Herpesvirales;dsDNA
Gallid alphaherpesvirus 1;Iltovirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Psittacid alphaherpesvirus 1;Iltovirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Anatid alphaherpesvirus 1;Mardivirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Columbid alphaherpesvirus 1;Mardivirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Gallid alphaherpesvirus 2;Mardivirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Gallid alphaherpesvirus 3;Mardivirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Meleagrid alphaherpesvirus 1;Mardivirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Chelonid alphaherpesvirus 5;Scutavirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
